FishID,Lake,Mass_g,Ectoparasites_YN,SL_mm,BodyDepth,BuccalCavityLength,Sex_MFU,ProcessedBy,GapeWidth,EpWidth,RakerNum,ProcessedBy,Scale ,Caudal Peduncle depth PINK ,Mouth Length  YELLOW ,Snout Length DARK BLUE,Eye Length GREEN ,Head length RED ,Standard Length BLACK ,Caudal peduncle,Jaw Length,Snout Length,Eye Diameter,Head Length,SL,RakerLength1,RakerLength2,RakerLength3,RakerLength4,IRSpace1,IRSpace2,IRSpace3,,Notes
S180680,Corcoran,0.9,N,42.37,10.05,9.23,F,Louis,,,,,1843.91,63.64,121.2,107,141.9,485.65,1667.72,0.172568075,0.328649446,0.290144313,0.384780168,1.316902669,4.52223807,,,,,,,,,
S180681,Corcoran,1.15,N,51.2,11.4,12.59,M,Louis,,,,,1831.66,81.5,129.2,154.96,164.71,592.98,1977.64,0.222475787,0.352685542,0.423004269,0.449619471,1.618695609,5.398490986,,,,,,,,,
S180682,Corcoran,0.88,Y,45.7,9.54,11.23,M,Louis,,,,,1861.63,76.05,110.26,128.72,151.65,537.76,1806.36,0.204256485,0.29613833,0.345718537,0.407304352,1.444325672,4.85155482,,,,,,,,,Brown spot left side of the tail
S180683,Corcoran,0.62,N,37.37,9.53,8.85,F,Louis,,,,,1849.18,64.12,104.16,103.03,132.85,427.86,1532.3,0.173374144,0.281638348,0.27858294,0.359213273,1.156891163,4.143187791,,,,,,,,,
S180684,Corcoran,0.51,N,37.21,8.25,9.37,M,Louis,,,,,1836.48,64.5,110.45,116.36,127.47,454.02,1513.19,0.175607684,0.300711143,0.316801708,0.347049791,1.236114741,4.119810725,,,,,,,,,
S180685,Corcoran,0.92,N,47.82,9.86,10.82,M,Louis,3.08,5.36,20,Grant,1848.35,91.27,132.88,151.16,155.29,542.53,1884.61,0.24689588,0.359455731,0.40890524,0.420077366,1.467606243,5.098087483,,,,,,,,,
S180686,Corcoran,1.02,N,48.65,10.47,11.71,M,Louis,,,,,1842.04,90.25,142.78,151.42,164,526.29,1941.71,0.244972965,0.387559445,0.411011704,0.445158629,1.42855204,5.270542442,,,,,,,,,
S180687,Corcoran,0.39,N,34.02,7.62,7.72,F,Louis,,,,,1847.87,54.33,88.38,95.45,113.9,394.94,1397.29,0.147007095,0.239140199,0.258270333,0.308192676,1.068635781,3.780812503,,,,,,,,,
S180688,Corcoran,0.96,N,47.01,11.05,10.8,F,Louis,2.72,5.45,20,Grant,1832.84,66.72,104.69,128.46,145.88,528.02,1888.62,0.182012614,0.285595033,0.350439755,0.397961633,1.440442155,5.15216822,,,,,,,,,
S180689,Corcoran,0.99,N,47.44,10.27,10.99,F,Louis,2.85,5.64,21,Grant,1844.82,73.55,106.87,131.4,151.05,502.02,1839.92,0.199341941,0.289648855,0.356132306,0.409389534,1.360620548,4.986719572,,,,,,,,,
S180690,Corcoran,1.1,Y,49.12,10.73,13.15,M,Louis,2.97,5.93,21,Grant,1839.17,80.28,146.67,155.41,172.35,617.3,1926.82,0.218250624,0.398739649,0.422500367,0.46855375,1.678202668,5.238286836,,,,,,,,,Little black spots
S180691,Corcoran,0.83,N,46.14,9.52,10.47,F,Louis,,,,,1847.16,73.44,118.59,117.41,152.59,481.42,1830.48,0.198791659,0.321006302,0.317812209,0.413039477,1.303135624,4.954849607,,,,,,,,,
S180692,Corcoran,0.64,N,42.69,8.68,10.52,M,Louis,2.45,4.92,19,Grant,1843.13,72.79,101.1,135.22,144.89,494,1699.53,0.197463011,0.274261718,0.366821657,0.393054207,1.340111658,4.610445275,,,,,,,,,
S180693,Corcoran,1.14,Y,46.84,10.59,13.5,M,Louis,3.47,5.56,21,Grant,1848.59,82.8,142,149.19,167.29,546.18,1850.59,0.223954473,0.384076512,0.403523767,0.452479998,1.477288095,5.005409528,,,,,,,,,Little black spots
S180694,Corcoran,0.4,Y,33.98,7.84,7.86,F,Louis,1.85,4.32,19,Grant,1846.3,54.08,67.8,75.43,109.22,373.86,1395.91,0.146455072,0.183610464,0.204273412,0.295780751,1.012457347,3.78029031,,,,,,,,,Little black spots
S180695,Corcoran,0.47,N,35.51,7.46,7.7,F,Louis,2,4.07,20,Grant,1842.62,56.75,98.2,94.32,114.48,385.67,1426.1,0.153992684,0.266468398,0.255939912,0.310644626,1.046526142,3.869761535,,,,,,,,,
S180696,Corcoran,0.88,N,43.01,9.83,10.2,F,Louis,2.98,5.65,19,Grant,1841.64,72.99,116,125.63,149.35,490.02,1754.97,0.198165765,0.314936687,0.341081862,0.405480984,1.330390304,4.764693425,,,,,,,,,
S180697,Corcoran,1.23,N,48.53,10.96,11.25,F,Louis,,,,,1734.01,74.31,111.21,128.71,148.22,498.12,1798.42,0.214272121,0.320672891,0.371133961,0.427390846,1.436323897,5.185725573,,,,,,,,,
S180698,Corcoran,1.62,Y,54.96,11.94,14.03,M,Louis,3.41,6.94,21,Grant,1803.25,91.29,154.38,173.12,191.23,686.29,2106.31,0.2531263,0.428060446,0.480022182,0.530237072,1.902925274,5.840316096,,,,,,,,,Little black spot on tail
S180699,Corcoran,1.69,Y,55.98,12.32,13.73,M,Louis,,,,,1800.25,90.75,156.06,181.04,175.11,686,2166,0.252048327,0.4334398,0.502819053,0.486349118,1.905290932,6.015831135,,,,,,,,,Brown spot on left fin
S180700,Corcoran,1.01,N,46.64,10.75,10.5,F,Louis,2.57,5.3,19,Grant,1800.36,69.45,119.85,122.02,147.03,489.74,1812.04,0.192878091,0.332850097,0.338876669,0.408335,1.360116866,5.032437957,,,,,,,,,
S180701,Corcoran,0.56,N,36.52,8.73,8.63,M,Louis,,,,,1792.36,70.26,86.22,114.67,130.58,438.77,1477.06,0.195998572,0.240520878,0.319885514,0.364268339,1.224000759,4.120433395,,,,,,,,,
S180702,Corcoran,0.99,N,49.89,9.26,11.72,F,Louis,,,,,1793.61,74.25,123.92,147.69,132.28,541.57,1896.47,0.206984796,0.345448565,0.411711576,0.368753519,1.509720619,5.28674015,,,,,,,,,
S180703,Corcoran,0.77,N,44.56,9.49,10.23,M,Louis,,,,,1806,73.55,143.38,134.68,158.45,514.69,1709.58,0.2036268,0.396954596,0.372868217,0.438676633,1.424944629,4.733056478,,,,,,,,,
S180704,Corcoran,0.61,N,40.87,8.07,9.84,M,Louis,2.32,4.95,21,Grant,1806.09,65.16,104.32,130.32,141.47,493.92,1572.1,0.180389682,0.288800669,0.360779363,0.391647149,1.367373719,4.352219435,,,,,,,,,
S180705,Corcoran,0.72,N,45.54,8.75,9.99,F,Louis,,,,,1800,64.36,102.9,118.85,151.33,469.82,1760.16,0.178777778,0.285833333,0.330138889,0.420361111,1.305055556,4.889333333,,,,,,,,,
S180706,Corcoran,0.51,N,38.27,8.27,8.88,M,Louis,2.24,4.56,19,Grant,1812.22,67.32,116.53,124.88,128.7,460.01,1538.52,0.185739038,0.321511737,0.344549779,0.355089338,1.269189171,4.244848859,,,,,,,,,Little tumor inside
S180707,Corcoran,0.56,Y,38.88,8.51,8.95,M,Louis,2.42,4.68,20,Grant,1784,62.53,104.04,121.36,131.22,447.03,1504.09,0.175252242,0.291591928,0.340134529,0.367769058,1.252886771,4.215498879,,,,,,,,,Black spot at the end of the tail
S180708,Corcoran,0.42,N,35.83,7.65,8.66,M,Louis,2.03,4.27,22,Grant,1792,63.78,99.48,109.53,117.97,426.72,1400.97,0.177957589,0.277566964,0.305608259,0.329157366,1.190625,3.908956473,,,,,,,,,
S180709,Corcoran,0.49,N,35.35,7.94,7.78,F,Louis,,,,,1792.07,51.95,92.2,91.64,114.24,380.06,1393.66,0.144944115,0.257244416,0.255681977,0.318737549,1.060393846,3.888408377,,,,,,,,,
S180201,Echo,3.94,N,67.98,15.83,17.09,F,Bailey,5.57,7.6,22,Grant,,,,,,,,,,,,,,,,,,,,,,
S180202,Echo,0.48,N,42.51,7.27,9.37,F,Bailey,,,,,1901.02,64.5,104.67,125.48,143.04,504.02,1711.27,0.169645769,0.275299576,0.330033351,0.376219082,1.325656753,4.500925819,,,,,,,,,
S180203,Echo,0.91,N,48.88,9.25,11.58,F,Bailey,2.77,5.71,20,Grant,1893.03,76.07,109.81,146.49,170.18,602.03,1956.36,0.200921274,0.290037665,0.386919383,0.449491028,1.590122713,5.167271517,,,,,,,,,
S180204,Echo,2.21,N,61.16,12.28,14.64,F,Bailey,3.72,7.16,21,Grant,1923.61,97.55,127.56,184.33,190.13,732.02,2472.27,0.253559713,0.33156409,0.479125187,0.494201008,1.902724565,6.426120679,,,,,,,,,
S180205,Echo,1.85,N,58.13,12.12,13.44,F,Bailey,,,,,1909.14,92.09,144.1,179.77,189.28,716,2299.76,0.241181893,0.377395058,0.470814084,0.495720586,1.875189876,6.023026075,,,,,,,,,
S180206,Echo,0.93,N,49.05,9.31,11.81,F,Bailey,,,,,1914.01,82.33,102.26,153.02,154.08,589.36,1962.45,0.215072022,0.26713549,0.399736679,0.402505734,1.539594882,5.126540614,,,,,,,,,
S180207,Echo,0.56,N,39.47,7.06,9.73,F,Bailey,,,,,1904.13,66.79,104.92,116.79,153.26,476.11,1632.02,0.175381933,0.275506399,0.30667549,0.40244101,1.250203505,4.285474206,,,,,,,,,
S180208,Echo,0.79,N,45.8,8.47,11.91,F,Bailey,,,,,1900,70.98,97.45,138.12,161.78,581.37,1892.44,0.186789474,0.256447368,0.363473684,0.425736842,1.529921053,4.980105263,,,,,,,,,
S180209,Echo,0.49,N,44.63,7.76,10.1,U,Bailey,1.74,4.78,19,Grant,1896.61,61.73,106.89,137.57,148.22,524.01,1777.23,0.162737727,0.28179225,0.362673402,0.390749812,1.381438461,4.68528058,,,,,,,,,
S180210,Echo,0.66,N,45.26,8.36,10.54,F,Bailey,,,,,1902.46,69.86,91.41,137.49,162.03,561.33,1789.49,0.183604386,0.240241582,0.361347939,0.425843382,1.475274119,4.70309494,,,,,,,,,
S180211,Echo,0.8,Y,45.38,7.93,11.41,M,Louis,,,,,1902.09,82.87,107.81,157.06,165.3,629.33,1928.1,0.217839324,0.283398788,0.412861642,0.434522026,1.654311836,5.068372159,,,,,,,,,Black spots on the body and tumors inside the abdomen
S180212,Echo,0.58,N,42.53,7.59,10.49,F,Louis,,,,,1900.59,66.91,134.53,146.76,145.88,532.2,1758.66,0.176024287,0.353916415,0.386090635,0.383775564,1.400091551,4.626615946,,,,,,,,,Tumors inside the abdomen
S180213,Echo,0.53,N,41.51,7.5,9.47,F,Louis,,,,,1900.18,67.99,116.25,124.2,144.59,496.09,1753.24,0.178904104,0.305892073,0.326811144,0.380463956,1.305376333,4.613352419,,,,,,,,,Tumors inside the abdomen
S180214,Echo,0.65,N,45.28,8.05,9.87,F,Louis,,,,,1899.79,66.22,117.47,143.12,154.91,520.29,1832.28,0.174282421,0.30916575,0.376673211,0.407702957,1.369335558,4.822322467,,,,,,,,,
S180215,Echo,0.81,N,45.66,8.85,9.87,F,Louis,,,,,1903.14,74.15,115.97,139.47,154.3,562.06,1878.29,0.19480963,0.304680686,0.366420757,0.405382683,1.47666488,4.934713158,,,,,,,,,
S180216,Echo,0.64,N,43.71,7.31,9.68,F,Louis,,,,,1906.33,72.57,116.62,138.6,151.33,582.63,1838.29,0.190339553,0.305875688,0.363525727,0.39691449,1.528145704,4.821541916,,,,,,,,,
S180217,Echo,1.51,N,55.95,11.17,13.94,M,Louis,,,,,1884.91,107.1,154.46,202.28,186.91,736.1,2274.79,0.284098445,0.409727785,0.536577343,0.495806166,1.952613122,6.034213835,,,,,,,,,Tumors inside the abdomen
S180218,Echo,0.59,N,44.79,9.1,9.35,F,Louis,2.04,5.13,20,Grant,1859.38,63.64,127.32,152.19,151.04,590.01,1854.16,0.171132313,0.342372189,0.40924932,0.406156891,1.586577246,4.985963063,,,,,,,,,
S180219,Echo,0.74,Y,44.94,8.33,10.7,F,Louis,,,,,1900.32,80.75,146.01,147.36,155.24,573.69,1872.02,0.212464217,0.384172139,0.387724173,0.408457523,1.509456302,4.925538857,,,,,,,,,Black spots  on the body and tumors inside the abdomen
S180220,Echo,0.67,N,47.52,9.39,11.17,F,Louis,2.27,5.28,21,Grant,1890.61,81.74,131.82,149.19,158.04,605.15,1962.15,0.216173616,0.348617642,0.394555197,0.417960341,1.600409392,5.189198195,,,,,,,,,Lot of Echo fish without pelvis spine
S180221,Echo,2.87,N,65.54,12.89,15.97,F,Bailey,,,,,1896.61,117.82,156.06,202.28,176.11,760.52,2689.71,0.31060682,0.411418267,0.533267251,0.464275734,2.004945666,7.090835754,,,,,,,,,
S180222,Echo,0.5,N,39.65,7.31,9.56,F,Bailey,,,,,1896.42,64.11,110.64,127.34,143.34,499.81,1606.61,0.169029013,0.291707533,0.335737864,0.377922612,1.317772434,4.235902384,,,,,,,,,
S180223,Echo,1.01,N,49.93,9.47,12.73,M,Bailey,,,,,1889.37,88.64,148.34,181.8,167.07,642.08,2025.91,0.234575546,0.392564717,0.481112752,0.442131504,1.699190736,5.361337377,,,,,,,,,
S180224,Echo,0.77,N,46.06,8.33,10.2,F,Bailey,,,,,1888.07,77.62,152.69,153.73,158.26,554.08,1903.6,0.20555382,0.404354711,0.407108847,0.419105224,1.467318479,5.041126653,,,,,,,,,
S180225,Echo,1.65,N,53.6,11.67,14.13,M,Bailey,,,,,1899.69,116.13,174.45,198.49,192.71,708.64,2200.71,0.305655133,0.459153862,0.522427343,0.507214335,1.865146419,5.792287163,,,,,,,,,
S180226,Echo,0.57,N,44.22,7.78,9.75,F,Bailey,,,,,1883.83,67.89,123.23,130.73,144.9,494.02,1824.28,0.180191419,0.327073037,0.346979292,0.384588843,1.311211734,4.841944337,,,,,,,,,
S180227,Echo,0.71,N ,45.76,7.7,10.59,F,Louis,,,,,1888.02,77.78,125.67,143,159.83,550.44,1831,0.205982988,0.332808975,0.378703615,0.423274118,1.457717609,4.848995244,,,,,,,,,
S180228,Echo,0.75,N,45.07,8.09,10,F,Louis,,,,,1906.37,80.71,120.1,147.08,153.08,567.87,1889.08,0.211685035,0.314996564,0.385759323,0.401496037,1.489401323,4.954652035,,,,,,,,,
S180361,Engineer,1.48,N,51.56,11.57,11.88,F,Louis,,,,,1915.31,86.88,113.85,147.87,167.2,630.92,2124.21,0.226804016,0.297210373,0.386021062,0.436482867,1.647044082,5.545342529,,,,,,,,,
S180362,Engineer,4.07,N,67.97,15.37,16.57,M,Louis,,,,,1896.24,128.69,144.5,239.65,178.9,838.74,2832.01,0.33932941,0.381017171,0.631908408,0.471722989,2.211587141,7.467435557,,,,,,,,,Brown/yellow mucus in the abdomen
S180363,Engineer,1.31,N,52.54,10.11,11.01,F,Louis,,,,,1914.24,77.52,105.17,128.72,163,581.87,2130.21,0.202482447,0.274704321,0.336216984,0.425756436,1.519845996,5.564114218,,,,,,,,,
S180364,Engineer,1.8,N,49.65,11.39,11.06,F,Louis,,,,,1896.01,74.54,92.63,142.79,155.05,565.87,2095.68,0.196570693,0.244276138,0.376553921,0.408884974,1.492265336,5.52655313,,,,,,,,,
S180365,Engineer,2.43,N,60.05,13.18,15.25,M,Louis,,,,,1920.94,106.73,152.03,208.81,177.29,753.29,2479.46,0.277806699,0.395717722,0.543509948,0.461466782,1.960732766,6.453767426,,,,,,,,,Yellow mucus in the abdomen
S180366,Engineer,1.81,N,51.82,12.38,9.71,F,Louis,,,,,1903.36,79.51,93.57,124.81,152.47,564.23,2089.04,0.208867477,0.24580216,0.327867561,0.400528539,1.482194645,5.487768998,,,,,,,,,
S180367,Engineer,2.06,N,54.94,12.27,11.77,F,Louis,,,,,1920.04,96.45,118.8,154.65,168.01,693.16,2271.5,0.251166642,0.309368555,0.402725985,0.437516927,1.805066561,5.915241349,,,,,,,,,
S180368,Engineer,1.56,N,49.51,11.1,11.91,F,Louis,,,,,1914.76,80.89,90.27,134.18,153.73,594,2096.81,0.211227517,0.235721448,0.350383338,0.401434122,1.551108233,5.475385949,,,,,,,,,
S180369,Engineer,1.99,N,59.21,12.76,12.1,F,Louis,,,,,1920.46,88.94,138.54,164.62,161.6,670.73,2448.39,0.231559106,0.360694834,0.428595232,0.420732533,1.74627433,6.374488404,,,,,,,,,
S180370,Engineer,1.71,N,51.78,12.76,10.25,F,Louis,,,,,1905.78,73.44,129.47,135.65,157.08,574,2128.88,0.192677014,0.339677193,0.355891026,0.412114725,1.505945072,5.585324644,,,,,,,,,
S180371,Engineer,2.27,N,55.26,12.56,12.98,F,Grant,,,,,1978.41,100.92,151.35,171.56,169.45,666.77,2378.26,0.2550533,0.382504132,0.433580502,0.428247937,1.685115825,6.010533711,,,,,,,,,
S180372,Engineer,1.36,N,48.78,11.44,10.67,F,Grant,,,,,1956.08,85.84,144.78,158.76,160.56,630.86,2146.06,0.219418429,0.370076889,0.405811623,0.410412662,1.612561858,5.485614085,,,,,,,,,
S180373,Engineer,1.88,N,55.05,12.07,13.08,F,Grant,,,,,1962.92,99.75,154.25,166.72,177.12,681.06,2388.12,0.25408575,0.392909543,0.424673446,0.451164592,1.734813441,6.083080309,,,,,,,,,
S180374,Engineer,1.89,N,58.37,11.92,12.61,F,Grant,,,,,1970.06,108.06,154.15,187.42,167.71,735.15,2449.24,0.274255606,0.391231739,0.475670792,0.425646935,1.865806118,6.216155853,,,,,,,,,
S180375,Engineer,3.1,N,64.57,14.47,13.21,F,Grant,3.38,7.18,19,Grant,1956.04,111.4,150.15,173.1,169.23,666.55,2698.51,0.284759003,0.38381117,0.442475614,0.432583178,1.703825075,6.897890636,,,,,,,,,
S180376,Engineer,2.11,N,46.78,12.59,12.12,F,Grant,2.88,6.95,21,Grant,1962.01,93.54,159.62,182.19,170.85,662.46,2430.38,0.23837799,0.406776724,0.46429427,0.435395334,1.688217695,6.193597382,,,,,,,,,
S180377,Engineer,1.31,N,49.55,10.49,10,F,Grant,2.15,5.54,21,Grant,1962.59,74.24,136.24,124.95,161.79,586.12,2089.24,0.189137823,0.347092363,0.318329351,0.412184919,1.493230884,5.322660362,,,,,,,,,
S180378,Engineer,1.09,N,46.51,10.59,9.57,F,Grant,,,,,1944.69,70.86,128.43,133.93,153.22,546,2034.27,0.182188421,0.330206871,0.344347942,0.393944536,1.403822717,5.230319485,,,,,,,,,
S180379,Engineer,1.82,N,50.19,13.09,11.79,F,Grant,2.68,5.78,19,Grant,1961.32,85.33,120.88,138.51,156.44,549.2,2148.43,0.21753207,0.308159811,0.353104032,0.398813044,1.400077499,5.477000184,,,,,,,,,
S180380,Engineer,1.66,N,52.85,12.36,12.57,F,Grant,2.87,5.92,23,Grant,1968.07,99.94,153.64,148.95,180.65,620,2221.21,0.253903571,0.390331645,0.378416418,0.458952171,1.575147225,5.643117369,,,,,,,,,
S180381,Engineer,1.64,N,51.07,11.1,12.79,M,Louis,3.36,6.54,,Grant,1961.97,108.03,160.51,188.9,179,681.42,2232.52,0.27531002,0.409053146,0.481403895,0.456174152,1.736570896,5.689485568,,,,,,,,,
S180382,Engineer,1.46,N,50.2,11.06,12.68,M,Louis,,,,,1952.8,97.34,127.64,164.22,170.32,627.54,2191.91,0.249231872,0.326812782,0.420473167,0.436091766,1.606769766,5.612223474,,,,,,,,,
S180383,Engineer,1.93,N,56,12.21,12.49,F,Louis,,,,,1976.15,101.98,163.4,173.4,184.11,681.32,2462.88,0.258026972,0.413430155,0.438731878,0.465830023,1.723856995,6.231510766,,,,,,,,,
S180384,Engineer,1.36,N,50.1,9.97,11.74,F,Louis,,,,,1960.07,73.92,142.8,162.64,157.71,605.75,2235.22,0.188564694,0.364272705,0.414883142,0.402307061,1.545225426,5.701888198,,,,,,,,,
S180385,Engineer,2.62,N,51.19,12.4,11.05,F,Louis,,,,,1956.19,84.75,153.91,152.07,165.95,602.16,2233.16,0.216620063,0.393392257,0.388689238,0.424166364,1.539114299,5.707932256,,,,,,,,,
S180386,Engineer,1.76,N,51.83,11.17,12.11,F,Louis,3.18,6.14,,Grant,1968.02,99.75,152.11,168.27,169.35,634.71,2218.84,0.253427303,0.386454406,0.427510899,0.430254774,1.612559832,5.637239459,,,,,,,,,
S180387,Engineer,1.33,N,51.23,10.01,10.99,F,Louis,2.67,5.73,,Grant,1960.26,83.73,144.22,147.05,162.19,591.76,2159.19,0.213568608,0.367859366,0.375077796,0.413695122,1.509391611,5.507407181,,,,,,,,,
S180388,Engineer,1.83,N,52.69,10.94,12.07,F,Louis,,,,,1977.96,85.51,130.21,128.32,165.39,564.6,2225.74,0.216157051,0.329152258,0.324374608,0.418082267,1.427228053,5.626352403,,,,,,,,,
S180389,Engineer,1.57,N,53.89,11.77,12.52,F,Louis,3.11,6.57,,Grant,1956.19,92.04,158.57,163.02,164.02,636.4,2299.57,0.235253222,0.405303166,0.416677317,0.419233306,1.62663136,5.877675481,,,,,,,,,
S180390,Engineer,1.21,N,47.44,9.49,11.41,M,Louis,,,,,1953.33,103.53,167.74,158.77,170.14,651.66,1307.55,0.265008985,0.429369333,0.406408543,0.435512689,1.668074519,3.346976701,,,,,,,,,
S180461,Engineer,1.91,N,54.17,11.82,11.27,F,Louis,,,,,1888.61,91.08,134.62,143.1,153.22,600,2280.69,0.24112972,0.35639968,0.378850054,0.405642245,1.588469827,6.038012083,,,,,,,,,
S180462,Engineer,1.8,Y,55.44,11.73,11.68,F,Louis,,,,,1905.06,86.15,151.4,180.62,158.67,636.45,2272.01,0.226108364,0.397362813,0.474053311,0.416443577,1.670419829,5.963093026,,,,,,,,,White tumor under skin left side
S180463,Engineer,1.59,N,55.33,11.4,12.37,F,Louis,,,,,1896.83,101.2,143.49,140.01,159.52,606.36,2250.79,0.266760859,0.378236321,0.369063121,0.42049103,1.598350933,5.933030372,,,,,,,,,
S180464,Engineer,1.97,N,54.97,11.46,12.22,F,Louis,,,,,1917.41,102.84,146.58,164.55,174.56,656.23,2344.01,0.268174256,0.382234368,0.429094456,0.455197376,1.711240684,6.112438133,,,,,,,,,
S180465,Engineer,1.89,N,52.98,10.09,10.55,F,Louis,,,,,1896.4,100.12,159.3,187.76,191.51,663.43,2352.34,0.263973845,0.420006328,0.49504324,0.504930394,1.749182662,6.202119806,,,,,,,,,
S180466,Engineer,1.91,N,57.39,11.2,12.07,F,Louis,,,,,1897.69,102.21,136.03,151.12,157.69,595.28,2336.22,0.269301098,0.358409435,0.398168299,0.415478819,1.5684332,6.155431077,,,,,,,,,
S180467,Engineer,1.05,N,47.82,10.03,10.36,F,Louis,,,,,1914.83,79.51,126.67,134.13,166.17,577.12,2049,0.207616342,0.330760433,0.350239969,0.433902749,1.506974509,5.350344417,,,,,,,,,
S180468,Engineer,1.41,N,52.29,10.87,11.38,F,Louis,,,,,1912.02,108.06,138.6,155.24,167.83,609.18,2176.01,0.282580726,0.362443908,0.405958097,0.438881393,1.59302727,5.690343197,,,,,,,,,Decolored spot on the right side
S180469,Engineer,0.94,N,46.63,8.93,10,F,Louis,,,,,1920.6,78.85,112.07,141.39,153.76,567.2,1944.81,0.205274393,0.291757784,0.368088098,0.400291576,1.476621889,5.063027179,,,,,,,,,
S180470,Engineer,1.84,N,56.75,12.09,13.68,M,Louis,,,,,1931.25,113.05,149.68,166.78,169.8,705.02,2380.7,0.292686084,0.387521036,0.43179288,0.439611651,1.825294498,6.163624595,,,,,,,,,Yellow mucus around the digestive tract
S180471,Engineer,1.39,N,49.25,10.44,12.23,M,Louis,,,,,1904.07,103.1,148.81,182.57,182.16,678.96,2161.2,0.270735845,0.390768197,0.4794204,0.478343758,1.782917645,5.675211521,,,,,,,,,
S180472,Engineer,1.12,N,47.09,9.5,10.32,F,Louis,,,,,1917.41,89.44,137.44,137.28,167.49,585.19,1986.72,0.233231286,0.358400134,0.357982904,0.436761048,1.52599079,5.180738601,,,,,,,,,Abundant yellow mucus in the abdomen
S180473,Engineer,1.8,N,55.65,11.44,10.56,F,Louis,,,,,1923.28,93.43,139.45,171.99,164.35,687.1,2352.22,0.242892351,0.362531717,0.447126783,0.427264881,1.78627137,6.115126243,,,,,,,,,
S180474,Engineer,1.56,Y,51.99,11.24,11.71,F,Louis,,,,,1907.29,82.38,134.31,136.94,168.51,597.09,2171.32,0.215960866,0.35209643,0.358991029,0.441752434,1.565283727,5.692160081,,,,,,,,,
S180475,Engineer,1.55,N,52.85,10.6,10.82,F,Louis,,,,,1896.07,98.31,155.4,183.41,167.62,649.78,2187.29,0.259246758,0.409794997,0.483658304,0.442019546,1.713491591,5.767956879,,,,,,,,,
S180476,Engineer,2.24,N,59.62,11.91,14.27,M,Louis,,,,,1912.07,103.75,155.21,215.13,185.15,732.22,2141.89,0.271302829,0.405869032,0.562557856,0.484161145,1.914731155,5.600971722,,,,,,,,,
S180477,Engineer,1.32,N,49.02,10.02,11.07,F,,,,,,1925.48,83.43,135,157.97,175.6,593.22,2052,0.216647278,0.350561938,0.410209402,0.455990195,1.540447057,5.328541455,,,,,,,,,
S180478,Engineer,1.05,N,50.43,10.18,10.13,F,,2.46,5.88,,Grant,1953.33,78.41,143.84,146.44,156.64,590.47,2075.95,0.200708534,0.368191755,0.374847056,0.400956316,1.511444559,5.313874256,,,,,,,,,
S180479,Engineer,1.85,N,53.83,10.71,11.77,F,,,,,,1921.67,99.61,154.9,161.79,149.93,614.12,2201.45,0.259175613,0.40303486,0.420961976,0.3901034,1.59788101,5.727960576,,,,,,,,,
S180480,Engineer,1.19,N,49.04,10.22,11.66,M,,,,,,1879.52,100.96,137.91,182.69,160.28,633,2089.85,0.268579212,0.366875585,0.486001745,0.42638546,1.683940581,5.559531157,,,,,,,,,
S180481,Engineer,1.11,N,47.31,10.28,11.67,F,Bailey,,,,,1941.96,101.98,147.76,137.09,149.35,549.2,1968.28,0.262569775,0.38044038,0.352968135,0.384534182,1.414035305,5.067766586,,,,,,,,,
S180482,Engineer,1.66,N,50.8,12.19,10.97,F,Bailey,,,,,1925.39,84.4,140.56,125.82,163.33,570.07,2153.49,0.219176375,0.365016958,0.326738998,0.424147835,1.480401373,5.592347524,,,,,,,,,
S180483,Engineer,1.24,N,51.02,11.17,11.05,F,Bailey,,,,,1923.26,85.16,137.91,158.14,170.43,606.84,2098.2,0.221394923,0.358531868,0.411124861,0.443075819,1.577633809,5.454800703,,,,,,,,,
S180484,Engineer,1.34,N,48.99,9.54,10.6,F,Bailey,,,,,1911.77,75.66,130.12,102.81,164.74,558.07,2017.92,0.197879452,0.340312904,0.268886948,0.430857268,1.45956365,5.277622308,,,,,,,,,
S180485,Engineer,0.87,N,45.69,9.2,10.36,F,Bailey,,,,,1921.13,72.25,145.09,126.15,142.2,496.06,1842.5,0.188040372,0.377616299,0.328322394,0.370094684,1.291063072,4.795354817,,,,,,,,,
S180486,Engineer,2.71,N,62.04,12.88,13.8,F,Bailey,,,,,1928.15,87.82,162.86,142.02,164.44,653.62,2512.05,0.227731245,0.422321915,0.368280476,0.426419106,1.694940746,6.514145684,,,,,,,,,
S180487,Engineer,1.47,Y,53.56,10.94,12.18,M,Bailey,,,,,1912.27,90.82,147.35,173.77,172.93,628.62,2200.93,0.237466467,0.385275092,0.454355295,0.452158952,1.643648648,5.754757435,,,,,,,,,Black spot under left pectoral fin
S180488,Engineer,1.31,N,52.07,9.99,11.43,F,Bailey,,,,,1856.62,91.39,155.6,140.39,184.84,610.66,2177.21,0.246119292,0.419041053,0.378079521,0.4977863,1.644547619,5.863369995,,,,,,,,,
S180489,Engineer,1.2,N,50.47,10.79,11.24,F,Bailey,,,,,1891.81,86.83,133.06,128.65,164.61,562.06,2040,0.229489219,0.351673794,0.340018289,0.435059546,1.485508587,5.391661953,,,,,,,,,
S180490,Engineer,1.21,N,50.36,9.87,11.98,F,Bailey,,,,,1928.8,93.57,136.88,151.86,158.07,628.16,2168.13,0.242560141,0.35483202,0.393664455,0.409762547,1.628369971,5.620411655,,,,,,,,,
